Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,gopro_time,,POINT,1678630580.040,Not found,NA,NA,15:16:19
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,still,,START,1678630589.320,Not found,258,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,still,,STOP,1678630613.280,Not found,857,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,still,,START,1678630639.600,Not found,1515,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,still,,STOP,1678630649.480,Not found,1762,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,scratching,,START,1678630654.040,Not found,1876,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,scratching,,STOP,1678630663.320,Not found,2108,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,swimming,,START,1678630667.040,Not found,2201,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,edge,,START,1678630673.200,Not found,2355,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,swimming,,STOP,1678630673.200,Not found,2355,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,edge,,STOP,1678630677.920,Not found,2473,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,swimming,,START,1678630681.280,Not found,2557,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,swimming,,STOP,1678630727.239,Not found,NA,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,edge,,START,1678630727.240,Not found,3706,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,edge,,STOP,1678630733.880,Not found,3872,NA,
T8D1_GX060333,2024-03-11 20:07:13.163,,2035.92000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX060333.MP4,1678630579.0,2057.080,25.000,,breathing,,START,1678630736.800,Not found,3945,NA,
