Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,gopro_time,,POINT,1678628515.320,Not found,NA,NA,14:41:55
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,START,1678628521.200,Not found,155,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,STOP,1678628542.679,Not found,NA,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,u-turn,,START,1678628544.040,Not found,726,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,u-turn,,STOP,1678628551.160,Not found,904,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,START,1678628551.640,Not found,916,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,STOP,1678628557.680,Not found,1067,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,START,1678628588.440,Not found,1836,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,swimming,,STOP,1678628592.640,Not found,1941,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,assisted resting,,START,1678628599.640,Not found,2116,NA,
T8D1_GX050333,2024-03-12 09:19:45.721,,2063.0600000667572021484375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX050333.MP4,1678628515.0,2063.360,25.000,,assisted resting,,STOP,1678628611.840,Not found,2421,NA,
