Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,gopro_time,,POINT,1678622325.400,Not found,NA,NA,12:58:45
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,still,,START,1678622339.480,Not found,362,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,still,,STOP,1678622613.400,Not found,7210,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,START,1678622622.720,Not found,7443,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,STOP,1678622655.519,Not found,NA,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,swimming,,START,1678622655.520,Not found,8263,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,swimming,,STOP,1678622665.440,Not found,8511,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,u-turn,,START,1678622665.440,Not found,8511,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,u-turn,,STOP,1678622669.559,Not found,NA,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,swimming,,START,1678622669.560,Not found,8614,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,swimming,,STOP,1678622671.559,Not found,NA,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,START,1678622671.560,Not found,8664,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,STOP,1678622682.800,Not found,8945,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,START,1678622699.000,Not found,9350,NA,
T8D1_GX020333,2024-03-12 11:11:18.689,,2062.959999904632568359375,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX020333.MP4,1678622325.0,2063.360,25.000,,edge,,STOP,1678622702.840,Not found,9446,NA,
