Observation id,Observation date,Description,Observation duration,Observation type,Source,Time offset (s),Media duration (s),FPS,Subject,Behavior,Behavioral category,Behavior type,Time,Media file name,Image index,Image file path,Comment
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624489.359,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624489.360,Not found,2534,NA,was u turn
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624493.600,Not found,2640,NA,was u turn
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624511.840,Not found,3096,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624513.280,Not found,3132,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624551.799,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,breathing,,START,1678624551.800,Not found,4095,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,breathing,,STOP,1678624555.279,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624555.280,Not found,4182,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624579.759,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624584.320,Not found,4908,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,edge,,START,1678624591.600,Not found,5090,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,edge,,STOP,1678624602.400,Not found,5360,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624611.080,Not found,5577,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624640.680,Not found,6317,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,u-turn,,START,1678624644.440,Not found,6411,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,u-turn,,STOP,1678624648.560,Not found,6514,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,breathing,,START,1678624649.840,Not found,6546,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,breathing,,STOP,1678624652.079,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,START,1678624790.120,Not found,10053,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming in place,,START,1678624794.560,Not found,10164,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming in place,,STOP,1678624810.079,Not found,NA,NA,
T8D1_GX030333,2024-03-12 11:55:15.367,,2049.16000003814697265625,Media file(s),player #1:D:/backup/Turtle_8_1203/day1/acc_analysis/GX030333.MP4,1678624388.0,2063.360,25.000,,swimming,,STOP,1678624810.080,Not found,10552,NA,
